FolderTest\20190418-080745\microsoft-r\r-reference\mrsdeploy\putlocalworkspace.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\microsoftml\hinge-loss.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\mrsdeploy\createsnapshot.md,1,Successful
FolderTest\20190418-080745\microsoft-r\install\machine-learning-server-hadoop-uninstall.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\revoscalepy\rx-get-jobs.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\microsoftml\rx-neural-network.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\sample-microsoftml.md,1,Successful
FolderTest\20190418-080745\microsoft-r\install\r-server-install-teradata-client.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxnativefilesystem.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxspssdata.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\how-to-revoscaler-linear-model.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxexecbypartition.md,1,Successful
FolderTest\20190418-080745\microsoft-r\deployr\deployr-security.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxxdftotext.md,1,Successful
FolderTest\20190418-080745\microsoft-r\deployr\deployr-admin-managing-the-grid.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxlocatefile.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\olapr\olapconnection.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\microsoftml\load-image.md,1,Successful
FolderTest\20190418-080745\microsoft-r\install\r-server-install-hadoop-offline.md,1,Successful
FolderTest\20190418-080745\microsoft-r\operationalize\python\quickstart-application-integration-with-swagger.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\revoscalepy\rx-get-job-results.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxforeachdopar.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\microsoftml\fasttrees.md,1,Successful
FolderTest\20190418-080745\.openpublishing.publish.config.json,1,Successful
FolderTest\20190418-080745\microsoft-r\r\rpe\revorpe-getting-started.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\revoscaler-deprecated.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\microsoftml\log-loss.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\microsoftml\mlmodel.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\quickstart-run-r-code.md,1,Successful
FolderTest\20190418-080745\microsoft-r\install\r-server-install-windows-command-line.md,1,Successful
FolderTest\20190418-080745\microsoft-r\operationalize\how-to-deploy-web-service-publish-manage-in-r.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxnew.md,1,Successful
FolderTest\20190418-080745\microsoft-r\install\machine-learning-server-linux-uninstall.md,1,Successful
FolderTest\20190418-080745\microsoft-r\deployr\deployr-client-library.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\how-to-choose-microsoftml-algorithms-cheatsheet.md,1,Successful
FolderTest\20190418-080745\.openpublishing.redirection.json,1,Successful
FolderTest\20190418-080745\microsoft-r\deployr\deployr-admin-managing-server-policies.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\revoscalepy\rx-read-object.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\microsoftml\rx-logistic-regression.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxdtree.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\tutorial-rxexecby.md,1,Successful
FolderTest\20190418-080745\microsoft-r\deployr\deployr-admin-configure-reinstall-r.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxcovregression.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\how-to-introduction.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\airontime87to12.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\how-to-revoscaler-data-hdfs.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\microsoftml\rxfastforest.md,1,Successful
FolderTest\20190418-080745\microsoft-r\python-reference\revoscalepy\rx-hadoop-copy-from-local.md,1,Successful
FolderTest\20190418-080745\microsoft-r\toc.yml,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxcleanup.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\mrsdeploy\listsnapshots.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxprivacycontrol.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\how-to-developer-pmml.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxsasdata.md,1,Successful
FolderTest\20190418-080745\microsoft-r\deployr\deployr-admin-console-user-accounts.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\olapr\execute2d.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\mrsdeploy\ConfigureServicePool.md,1,Successful
FolderTest\20190418-080745\microsoft-r\install\machine-learning-server-in-the-cloud.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-client\compatibility-with-server.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\microsoftml\ngram.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxxdffilename.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\tutorial-large-data-tips.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\mrsdeploy\print.snapshotDetails.md,1,Successful
FolderTest\20190418-080745\microsoft-r\install\r-server-install-cloudera-generate-parcel.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxlorenz.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\mrsdeploy\listservices.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\as.glm.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r\tutorial-r-to-revoscaler.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\microsoftml\selectfeatures.md,1,Successful
FolderTest\20190418-080745\microsoft-r\r-reference\revoscaler\rxstopengine.md,1,Successful
